keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[171, 214], [232, 221], [192, 223], [177, 207], [236, 210], [195, 214], [187, 208], [201, 223], [215, 215], [205, 215], [217, 205], [182, 216], [223, 221], [242, 204], [182, 225], [209, 206], [242, 219], [226, 206], [173, 223], [198, 206]]",goal keypoints,,1.631224,1.638437
"[[209, 179], [277, 169], [231, 166], [218, 164], [285, 176], [240, 178], [228, 176], [242, 169], [257, 164], [251, 178], [264, 175], [222, 172], [268, 167], [287, 159], [222, 181], [256, 170], [285, 171], [274, 175], [212, 170], [243, 167]]",1,0.142355,0.024366,0.030627,"[-8.68811300e-03 -6.78154263e-02 -1.84747870e-04 -2.15413512e-06
 -1.78161434e-06  3.74978828e-04]",0.068338,0
"[[209, 179], [277, 169], [231, 166], [218, 164], [285, 176], [240, 178], [228, 176], [242, 169], [257, 164], [251, 178], [264, 175], [222, 172], [268, 167], [287, 159], [222, 181], [256, 170], [285, 171], [274, 175], [212, 170], [243, 167]]",2,0.147256,0.025586,0.032878,"[-8.68811300e-03 -6.78154263e-02 -1.84747870e-04 -2.15413512e-06
 -1.78161434e-06  3.74978828e-04]",0.077457,0
"[[209, 179], [276, 169], [232, 167], [218, 164], [284, 176], [240, 179], [229, 176], [242, 170], [258, 165], [251, 178], [263, 175], [222, 172], [268, 168], [287, 160], [223, 181], [255, 171], [285, 171], [274, 176], [213, 170], [243, 168]]",3,0.123521,0.025013,0.032557,"[-8.13526658e-03 -6.83321479e-02 -1.89361888e-04 -2.12834846e-06
 -1.83454512e-06  3.83500701e-04]",0.047175,0
"[[210, 179], [278, 170], [233, 168], [219, 164], [285, 176], [241, 179], [229, 176], [244, 171], [259, 166], [252, 179], [264, 176], [223, 173], [269, 169], [288, 160], [223, 181], [256, 171], [286, 172], [275, 176], [214, 171], [244, 168]]",4,0.125345,0.024437,0.028542,"[-7.32190589e-03 -6.51777097e-02 -1.85496428e-04 -1.87866575e-06
 -1.71222690e-06  3.58024825e-04]",0.057206,0
"[[210, 179], [278, 171], [234, 168], [219, 165], [285, 177], [241, 179], [229, 176], [244, 171], [258, 166], [252, 179], [264, 176], [223, 173], [268, 169], [288, 161], [224, 182], [255, 172], [286, 173], [274, 176], [215, 171], [244, 168]]",5,0.13314,0.026799,0.030811,"[-6.29687264e-03 -6.38962897e-02 -1.77009737e-04 -1.90231284e-06
 -1.68432000e-06  3.53152172e-04]",0.060499,0
"[[210, 180], [279, 171], [234, 169], [220, 166], [285, 178], [241, 180], [229, 176], [244, 172], [259, 167], [252, 179], [265, 176], [223, 174], [269, 170], [288, 161], [224, 183], [256, 172], [287, 173], [275, 177], [215, 172], [244, 169]]",6,0.14175,0.025156,0.029023,"[-6.38866504e-03 -6.28497420e-02 -1.76192058e-04 -1.81443546e-06
 -1.63206965e-06  3.42585416e-04]",0.074392,0
"[[210, 180], [278, 172], [235, 170], [219, 166], [285, 178], [240, 180], [229, 177], [244, 173], [259, 167], [251, 180], [264, 177], [223, 175], [269, 171], [289, 162], [224, 183], [255, 172], [287, 174], [274, 177], [215, 173], [243, 169]]",7,0.123858,0.023296,0.027383,"[-5.51640669e-03 -5.97062079e-02 -1.72764293e-04 -1.57146928e-06
 -1.53233033e-06  3.20331659e-04]",0.057333,0
"[[210, 180], [279, 173], [236, 171], [220, 166], [285, 179], [241, 180], [230, 177], [246, 174], [260, 168], [252, 180], [264, 177], [224, 175], [270, 172], [289, 162], [225, 184], [256, 172], [287, 174], [275, 177], [216, 174], [244, 169]]",8,0.137878,0.025725,0.0301,"[-3.76900510e-03 -5.56133933e-02 -1.62246413e-04 -1.36087138e-06
 -1.40409471e-06  2.92970106e-04]",0.067507,0
"[[211, 180], [280, 174], [237, 172], [221, 167], [286, 179], [242, 180], [230, 177], [247, 175], [261, 169], [253, 181], [265, 177], [225, 175], [272, 172], [289, 163], [226, 184], [257, 173], [288, 175], [276, 178], [217, 174], [245, 170]]",9,0.126377,0.025079,0.029133,"[-2.94294431e-03 -5.37941140e-02 -1.52036746e-04 -1.35790601e-06
 -1.33004039e-06  2.80488950e-04]",0.057617,0
"[[211, 181], [280, 174], [237, 173], [221, 168], [286, 179], [241, 181], [229, 177], [247, 176], [262, 169], [252, 181], [265, 177], [225, 176], [271, 173], [290, 163], [226, 185], [256, 173], [289, 175], [275, 178], [217, 175], [245, 170]]",10,0.135225,0.026011,0.029927,"[-2.72142434e-03 -5.03018781e-02 -1.52086630e-04 -1.06032358e-06
 -1.22101518e-06  2.50814578e-04]",0.06777,0
"[[211, 181], [281, 174], [238, 173], [221, 168], [286, 180], [242, 181], [230, 177], [248, 176], [262, 170], [253, 182], [265, 178], [225, 176], [272, 173], [290, 164], [226, 185], [256, 174], [289, 176], [275, 179], [218, 176], [245, 170]]",11,0.139043,0.027382,0.03159,"[-2.91193090e-03 -5.22851059e-02 -1.55982704e-04 -1.17439638e-06
 -1.29095370e-06  2.67430411e-04]",0.068944,0
"[[211, 181], [281, 174], [238, 174], [221, 169], [286, 181], [242, 182], [230, 178], [248, 177], [262, 170], [253, 182], [264, 178], [225, 177], [272, 173], [290, 165], [226, 186], [256, 174], [289, 176], [275, 179], [218, 177], [245, 170]]",12,0.124301,0.024402,0.028681,"[-2.48360365e-03 -5.02530166e-02 -1.49289207e-04 -1.12115090e-06
 -1.22945072e-06  2.52342379e-04]",0.057272,0
