keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[220, 175], [285, 181], [242, 183], [262, 182], [253, 184], [266, 175], [225, 183], [289, 171]]",23,0.123363,0.022524,0.026362,"[ 1.02502325e-02 -1.16144816e-02  2.35347239e-05 -4.93490489e-07
  1.45838505e-07  1.33861619e-08]",0.056312,0
"[[220, 176], [284, 180], [241, 183], [260, 182], [252, 184], [264, 175], [224, 183], [288, 172]]",24,0.13541,0.02444,0.028368,"[ 1.24525961e-02 -3.09216420e-03  5.15228558e-05 -2.31146503e-07
  4.05769336e-07 -5.98185587e-05]",0.066885,0
"[[219, 176], [283, 181], [240, 183], [259, 182], [251, 185], [264, 175], [223, 184], [288, 172]]",25,0.139445,0.023914,0.027818,"[ 8.83518382e-03 -1.33708636e-02 -1.01570093e-05 -1.25451164e-07
  3.28505259e-08  1.12577670e-05]",0.067703,0
"[[219, 176], [283, 181], [240, 183], [259, 183], [250, 185], [263, 175], [223, 184], [287, 173]]",26,0.13742,0.025332,0.02904,"[ 1.09064327e-02 -9.53995085e-03  1.46332118e-05 -1.51366876e-07
  1.76308760e-07 -8.42294400e-06]",0.067791,0
"[[218, 177], [282, 183], [239, 184], [258, 184], [250, 185], [263, 176], [222, 185], [287, 173]]",27,0.125535,0.024733,0.028453,"[ 8.63578238e-03 -1.49788440e-02 -1.80291044e-05 -1.13850427e-07
 -1.92470107e-08  2.88000642e-05]",0.056921,0
"[[218, 178], [281, 182], [239, 185], [257, 184], [249, 186], [262, 177], [222, 186], [286, 174]]",28,0.13571,0.023602,0.027749,"[ 9.97069421e-03 -8.51302674e-03  2.85755688e-07  4.82187214e-08
  1.30890212e-07 -1.74933028e-05]",0.067467,0
"[[217, 178], [281, 184], [239, 186], [258, 185], [249, 187], [262, 178], [222, 186], [285, 175]]",29,0.137218,0.024903,0.028589,"[ 1.13890748e-02 -8.11513898e-03  3.63652472e-05 -4.26703567e-07
  2.20516605e-07 -9.36644509e-06]",0.070136,0
"[[216, 179], [281, 185], [237, 186], [258, 186], [248, 188], [261, 179], [221, 187], [284, 175]]",30,0.126023,0.025503,0.029234,"[ 1.04954288e-02 -6.59602821e-03  4.79899236e-05 -5.34636242e-07
  2.87899937e-07 -2.50046735e-05]",0.057131,0
"[[216, 180], [280, 184], [237, 187], [256, 186], [248, 188], [260, 179], [220, 187], [284, 176]]",31,0.133587,0.024199,0.027889,"[ 1.09992418e-02 -1.82778967e-03  5.08311479e-05 -2.21640779e-07
  4.08994189e-07 -6.20664952e-05]",0.066702,0
"[[215, 180], [279, 185], [236, 187], [255, 187], [246, 189], [259, 179], [219, 188], [284, 177]]",32,0.135202,0.025438,0.029235,"[ 9.03323219e-03 -9.50771340e-03  1.71806972e-06 -3.44996750e-08
  1.41968999e-07 -3.58415873e-06]",0.066466,0
"[[215, 180], [278, 185], [235, 187], [255, 187], [246, 189], [259, 179], [219, 188], [283, 177]]",33,0.134934,0.024727,0.028487,"[ 9.19539965e-03 -1.09323049e-02 -5.48758525e-06 -4.14487689e-08
  6.66094875e-08  1.07136317e-05]",0.067067,0
"[[214, 181], [278, 187], [235, 188], [254, 188], [245, 189], [259, 180], [218, 189], [283, 177]]",34,0.136567,0.023321,0.027339,"[ 7.40123057e-03 -1.45569829e-02 -2.54426794e-05 -4.44734514e-08
 -4.76385318e-08  3.39076234e-05]",0.070549,0
"[[214, 182], [277, 187], [234, 189], [253, 188], [245, 190], [258, 180], [218, 190], [282, 178]]",35,0.127195,0.022314,0.02653,"[ 7.80064116e-03 -1.24076842e-02 -2.18822401e-05  7.51887093e-09
 -3.27103812e-08  2.02052681e-05]",0.057034,0
"[[213, 182], [277, 188], [234, 189], [254, 189], [245, 191], [258, 182], [218, 190], [281, 178]]",36,0.134029,0.02487,0.028826,"[ 9.20117108e-03 -8.77905804e-03  2.47858876e-05 -4.10361844e-07
  1.52201042e-07 -5.98636120e-07]",0.066539,0
"[[212, 183], [276, 188], [233, 190], [253, 190], [244, 191], [257, 182], [217, 191], [280, 179]]",37,0.134148,0.023971,0.028959,"[ 8.69280402e-03 -6.78432090e-03  2.19480760e-05 -2.54550504e-07
  1.89179306e-07 -1.80143658e-05]",0.066671,0
"[[212, 183], [275, 188], [233, 190], [252, 190], [243, 192], [256, 182], [216, 191], [280, 180]]",38,0.13537,0.024915,0.028569,"[ 8.55511216e-03 -9.88980721e-03 -2.40484312e-06 -7.95343049e-08
  6.98738170e-08  1.00689599e-05]",0.066858,0
"[[211, 184], [275, 189], [232, 191], [251, 191], [242, 192], [256, 183], [215, 192], [280, 181]]",39,0.13354,0.023473,0.027211,"[ 7.51487091e-03 -9.84654148e-03 -1.64057214e-05  1.44181475e-07
  8.27823604e-08  6.08327135e-06]",0.066641,0
"[[210, 185], [274, 190], [230, 191], [250, 191], [241, 193], [254, 183], [214, 193], [279, 181]]",40,0.133435,0.023531,0.02792,"[ 6.65897964e-03 -9.18906737e-03 -9.50484959e-06  2.61166348e-08
  9.28095186e-08 -1.87979046e-06]",0.066854,0
"[[210, 185], [274, 190], [231, 192], [250, 192], [242, 193], [255, 184], [215, 193], [278, 182]]",41,0.135637,0.025292,0.028945,"[ 8.88797656e-03 -5.10221799e-03  2.09029831e-05 -1.00979111e-07
  2.33256308e-07 -2.18894294e-05]",0.067362,0
"[[210, 186], [273, 191], [230, 193], [250, 193], [241, 194], [254, 185], [214, 194], [277, 182]]",42,0.124112,0.024802,0.02854,"[ 7.90660301e-03 -7.86024945e-03  6.48914931e-06 -1.60709817e-07
  9.68972287e-08 -9.68965630e-07]",0.056154,0
"[[209, 186], [273, 192], [230, 194], [250, 194], [241, 195], [254, 185], [214, 195], [277, 183]]",43,0.134164,0.02419,0.027999,"[ 7.16798026e-03 -1.10332076e-02  9.14259226e-07 -3.23948295e-07
  1.07634497e-08  2.35646042e-05]",0.06656,0
"[[208, 187], [272, 192], [229, 194], [249, 194], [239, 195], [253, 185], [212, 195], [276, 184]]",44,0.134845,0.024648,0.028494,"[ 6.61239502e-03 -1.00458818e-02 -1.14074887e-05 -4.39014941e-08
  3.91351301e-08  1.42600055e-05]",0.066625,0
"[[208, 188], [271, 192], [228, 194], [248, 194], [239, 196], [252, 186], [212, 196], [276, 184]]",45,0.135636,0.024444,0.02817,"[ 6.39756885e-03 -7.78248362e-03 -1.29607307e-05  8.61075694e-08
  6.23917437e-08 -4.67101391e-06]",0.067019,0
"[[207, 188], [271, 193], [228, 195], [248, 195], [238, 196], [252, 186], [211, 196], [276, 185]]",46,0.135183,0.023316,0.027735,"[ 5.78613651e-03 -1.09266032e-02 -2.36401344e-05  6.15532441e-08
  4.33105200e-09  2.02394979e-05]",0.067042,0
"[[207, 189], [270, 193], [226, 195], [246, 196], [237, 196], [251, 186], [211, 197], [275, 185]]",47,0.134717,0.024959,0.02873,"[ 5.21750987e-03 -1.22527399e-02 -4.79035436e-05  2.73501367e-07
 -1.17981794e-07  3.04802943e-05]",0.06779,0
"[[206, 189], [270, 195], [227, 197], [246, 197], [238, 198], [251, 188], [211, 198], [274, 186]]",48,0.125144,0.025229,0.028987,"[ 6.32190590e-03 -1.08453187e-02 -5.51953441e-06 -2.65559816e-07
 -1.80699165e-08  2.91637235e-05]",0.056671,0
"[[206, 190], [269, 195], [226, 197], [246, 197], [237, 198], [250, 188], [210, 198], [273, 186]]",49,0.135218,0.023865,0.027707,"[ 6.19785270e-03 -9.42177071e-03 -7.55012839e-06 -1.60862853e-07
 -5.73162503e-09  1.78327568e-05]",0.066566,0
"[[205, 190], [268, 195], [225, 197], [245, 198], [236, 199], [249, 188], [209, 199], [272, 187]]",50,0.141951,0.025351,0.029178,"[ 5.62198497e-03 -1.24464855e-02 -2.26662257e-05 -1.61765234e-07
 -1.18574615e-07  4.28518179e-05]",0.073027,0
"[[205, 191], [267, 196], [225, 198], [245, 198], [236, 199], [249, 190], [209, 199], [272, 188]]",51,0.124242,0.024447,0.028111,"[ 7.16289333e-03 -7.35698968e-03 -6.47490327e-06  8.34518683e-09
  5.06553769e-08  1.21264884e-05]",0.056193,0
"[[204, 192], [267, 196], [224, 198], [244, 199], [235, 200], [248, 189], [208, 200], [272, 188]]",52,0.138059,0.023254,0.027658,"[ 4.67543259e-03 -1.09114171e-02 -3.03965581e-05  2.29525531e-08
 -8.92603859e-08  2.73386036e-05]",0.070477,0
"[[204, 192], [266, 197], [223, 199], [244, 199], [234, 200], [247, 190], [208, 201], [271, 189]]",53,0.137593,0.025199,0.02903,"[ 5.80912928e-03 -9.63516768e-03 -2.19490635e-05  7.95925038e-09
 -6.00651720e-08  2.71133810e-05]",0.070106,0
"[[203, 193], [266, 198], [222, 200], [243, 200], [233, 201], [247, 190], [207, 201], [270, 190]]",54,0.124262,0.025191,0.02903,"[ 5.10704220e-03 -1.18242275e-02 -3.15357610e-05 -1.51354819e-09
 -1.15989616e-07  4.39802333e-05]",0.056585,0
"[[203, 193], [265, 198], [223, 201], [243, 201], [234, 202], [247, 192], [207, 202], [270, 190]]",55,0.133967,0.023989,0.027871,"[ 5.43884000e-03 -1.16903637e-02 -2.60620467e-05 -1.20309368e-07
 -1.44300977e-07  4.65462234e-05]",0.066633,0
"[[202, 194], [265, 198], [222, 201], [242, 202], [233, 202], [246, 192], [207, 202], [269, 190]]",56,0.134901,0.024399,0.028182,"[ 5.34474550e-03 -6.58137200e-03 -1.04812812e-06 -1.56107408e-07
  3.04234881e-08  4.72333251e-06]",0.06694,0
"[[202, 195], [263, 198], [221, 201], [242, 202], [232, 202], [245, 192], [206, 203], [268, 191]]",57,0.134609,0.023381,0.027216,"[ 5.37417287e-03 -7.09518101e-03 -2.18035160e-05  8.37816608e-08
 -5.96979844e-08  1.18846822e-05]",0.067337,0
"[[201, 195], [263, 199], [221, 202], [241, 202], [231, 203], [245, 193], [205, 204], [268, 192]]",58,0.134338,0.023439,0.027831,"[ 4.55604294e-03 -1.06948386e-02 -4.25641363e-05  1.54852345e-07
 -1.59668729e-07  3.91665503e-05]",0.066768,0
"[[200, 196], [263, 200], [220, 203], [240, 203], [230, 204], [243, 193], [204, 204], [267, 193]]",59,0.134506,0.025146,0.028857,"[ 4.71519406e-03 -5.67901536e-03 -3.71857663e-06 -6.36374318e-08
  5.65179149e-08  1.87303967e-06]",0.066779,0
"[[200, 196], [262, 201], [220, 203], [240, 204], [230, 204], [244, 194], [204, 205], [267, 193]]",60,0.134141,0.025055,0.028932,"[ 4.61596821e-03 -1.27665291e-02 -4.31292365e-05  2.26002362e-08
 -2.17227352e-07  6.17768324e-05]",0.066979,0
"[[200, 197], [262, 202], [219, 203], [240, 204], [230, 205], [243, 195], [204, 205], [266, 194]]",61,0.124751,0.02433,0.028083,"[ 6.14289262e-03 -4.38842533e-03  5.62773825e-06 -7.86955988e-08
  9.44495600e-08  4.82835903e-06]",0.057499,0
"[[199, 198], [262, 202], [219, 205], [240, 205], [230, 206], [244, 196], [204, 206], [266, 194]]",62,0.135563,0.024475,0.028463,"[ 4.21093059e-03 -5.75012269e-03 -6.92814977e-06 -9.13808417e-08
  1.93829732e-08  4.24458790e-06]",0.066172,0
"[[199, 198], [261, 202], [218, 205], [239, 205], [229, 206], [242, 196], [203, 206], [265, 195]]",63,0.136068,0.023287,0.027027,"[ 5.22396196e-03 -3.35752236e-03  1.57352744e-06 -1.08103503e-08
  9.34380212e-08 -5.99098207e-06]",0.069237,0
"[[198, 198], [260, 203], [218, 205], [239, 206], [229, 206], [242, 196], [203, 207], [265, 195]]",64,0.133574,0.023299,0.02782,"[ 4.82842561e-03 -8.02147497e-03 -1.11523814e-05 -1.64358576e-07
 -6.50246961e-08  3.13695077e-05]",0.066907,0
"[[198, 199], [260, 203], [217, 205], [237, 206], [227, 206], [241, 196], [202, 207], [264, 196]]",65,0.133738,0.024876,0.028549,"[ 4.86519423e-03 -6.30707394e-03 -2.50674670e-05  1.82190335e-07
 -3.10626400e-08  2.00518820e-05]",0.065685,0
"[[197, 200], [258, 203], [216, 207], [236, 207], [227, 208], [240, 197], [201, 208], [264, 196]]",66,0.136905,0.024892,0.0287,"[ 3.27344528e-03 -1.02732504e-02 -4.94066984e-05  1.54868980e-07
 -2.29609670e-07  4.52744276e-05]",0.066416,0
"[[196, 200], [258, 203], [215, 207], [235, 207], [225, 208], [239, 197], [200, 209], [263, 197]]",67,0.126995,0.024801,0.028537,"[ 2.68445479e-03 -1.00842735e-02 -5.44483498e-05  2.49447125e-07
 -2.13351829e-07  4.20021964e-05]",0.057223,0
"[[196, 200], [258, 205], [216, 207], [236, 208], [226, 208], [239, 198], [201, 209], [263, 197]]",68,0.135688,0.025046,0.028713,"[ 4.50827718e-03 -6.01188413e-03 -6.36145072e-06 -1.26384678e-07
 -2.00584527e-08  2.18623245e-05]",0.066501,0
"[[196, 201], [258, 205], [215, 208], [236, 209], [226, 209], [239, 198], [200, 209], [262, 198]]",69,0.13359,0.023183,0.026951,"[ 4.08662505e-03 -7.21626682e-03 -1.40145509e-05 -1.18674733e-07
 -7.10522119e-08  3.08794706e-05]",0.066333,0
"[[196, 202], [257, 206], [215, 209], [236, 210], [226, 210], [239, 200], [200, 210], [262, 199]]",70,0.132692,0.023141,0.027549,"[ 4.65417818e-03 -5.79089588e-03 -1.40436575e-05 -2.90976131e-08
 -4.91009711e-08  2.61295818e-05]",0.066424,0
"[[195, 202], [256, 205], [214, 209], [235, 210], [224, 210], [237, 199], [199, 210], [261, 199]]",71,0.134596,0.0252,0.028884,"[ 3.85946129e-03 -5.25500874e-03 -1.14035513e-05 -6.55878810e-08
 -4.61993290e-08  1.79022151e-05]",0.066834,0
"[[195, 203], [256, 207], [214, 210], [234, 211], [224, 211], [238, 201], [199, 211], [261, 200]]",72,0.135603,0.025652,0.029389,"[ 4.33871181e-03 -8.30500027e-03 -3.73801187e-05  1.29553183e-07
 -1.63807942e-07  4.92535048e-05]",0.066886,0
"[[194, 203], [255, 207], [213, 210], [233, 211], [223, 211], [236, 200], [198, 212], [260, 200]]",73,0.134143,0.02518,0.029013,"[ 3.62969801e-03 -8.74608916e-03 -3.10534308e-05 -3.75843843e-08
 -1.92007785e-07  4.99501615e-05]",0.064229,0
"[[194, 204], [254, 207], [213, 211], [233, 211], [223, 212], [236, 202], [198, 213], [260, 201]]",74,0.124643,0.024186,0.028269,"[ 3.67766462e-03 -5.60211386e-03 -3.55570206e-05  2.01648308e-07
 -1.39923688e-07  2.67943611e-05]",0.056728,0
"[[194, 204], [254, 208], [213, 211], [233, 212], [223, 212], [236, 202], [198, 213], [259, 201]]",75,0.135596,0.023583,0.027286,"[ 4.63052714e-03 -6.74413289e-03 -2.36670563e-05 -2.45916001e-08
 -1.63466646e-07  4.40649703e-05]",0.066613,0
"[[193, 205], [254, 209], [212, 212], [232, 213], [223, 213], [235, 203], [197, 214], [259, 202]]",76,0.1357,0.023477,0.027684,"[ 3.61362606e-03 -4.55376913e-03 -1.37639408e-05 -3.69262894e-08
 -5.88802733e-08  2.22288512e-05]",0.068808,0
"[[193, 206], [253, 209], [211, 212], [232, 214], [222, 213], [234, 203], [197, 214], [258, 203]]",77,0.135929,0.025452,0.0292,"[ 4.35905739e-03 -9.06586110e-04  1.83124469e-06 -1.82881810e-08
  4.21322162e-08  5.28216677e-07]",0.06781,0
"[[192, 206], [254, 210], [210, 213], [231, 214], [221, 214], [234, 204], [196, 214], [258, 203]]",78,0.135621,0.025829,0.02953,"[ 3.08320663e-03 -1.78693759e-03 -4.01882446e-06  2.65195202e-08
  7.04730836e-08  3.26453296e-07]",0.066879,0
"[[192, 206], [252, 210], [211, 213], [231, 214], [221, 214], [234, 204], [196, 215], [257, 203]]",79,0.124686,0.02379,0.027672,"[ 4.13972549e-03 -6.16762951e-03 -2.34957813e-05 -2.46059271e-08
 -1.63796552e-07  4.44278009e-05]",0.056385,0
"[[191, 206], [252, 210], [210, 213], [230, 214], [220, 214], [233, 204], [195, 215], [257, 203]]",80,0.134803,0.025134,0.028825,"[ 3.02685202e-03 -5.26126726e-03 -2.26923896e-05  3.00588608e-08
 -9.88166391e-08  3.03481924e-05]",0.06684,0
"[[191, 207], [251, 210], [210, 214], [229, 215], [220, 215], [232, 205], [195, 216], [257, 204]]",81,0.132841,0.02327,0.026943,"[ 3.13279896e-03 -3.90229496e-03 -2.49618311e-05  1.08527967e-07
 -1.04858800e-07  2.29137571e-05]",0.066291,0
