keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[212, 181], [282, 174], [239, 174], [222, 169], [287, 181], [242, 182], [230, 178], [248, 177], [262, 170], [253, 182], [266, 179], [226, 177], [272, 173], [291, 165], [227, 186], [257, 175], [290, 177], [276, 180], [219, 178], [246, 171]]",15,0.135467,0.026275,0.030012,"[-2.74434147e-03 -5.19028190e-02 -1.52408138e-04 -1.20408525e-06
 -1.27060863e-06  2.64613456e-04]",0.067422,0
"[[212, 182], [281, 175], [240, 175], [222, 170], [287, 182], [242, 183], [230, 178], [249, 178], [263, 171], [253, 183], [265, 179], [226, 178], [273, 175], [291, 166], [227, 187], [256, 175], [290, 178], [276, 180], [219, 179], [246, 171]]",16,0.135757,0.028196,0.03229,"[-9.87748487e-04 -4.62280960e-02 -1.36751513e-04 -9.54548679e-07
 -1.08851164e-06  2.25418497e-04]",0.066979,0
"[[213, 182], [283, 176], [241, 177], [223, 171], [287, 183], [243, 183], [231, 179], [251, 180], [265, 172], [254, 184], [266, 180], [227, 179], [274, 176], [292, 167], [228, 188], [258, 176], [291, 179], [277, 181], [220, 180], [247, 172]]",17,0.136602,0.024969,0.028808,"[-9.86339005e-05 -4.39557908e-02 -1.35643978e-04 -7.65032331e-07
 -1.01522901e-06  2.09917259e-04]",0.067999,0
"[[213, 183], [283, 178], [240, 180], [223, 172], [287, 183], [243, 183], [232, 178], [250, 183], [264, 174], [254, 184], [266, 180], [227, 180], [274, 178], [291, 169], [228, 189], [257, 176], [291, 181], [276, 181], [220, 184], [247, 172]]",18,0.147078,0.025443,0.029667,"[ 7.00009469e-03 -2.12472562e-02 -4.10706100e-05 -2.84067053e-07
 -2.24089821e-07  5.42681913e-05]",0.079727,0
"[[214, 183], [283, 183], [238, 186], [223, 174], [287, 183], [243, 183], [232, 178], [248, 187], [263, 178], [254, 184], [266, 178], [227, 182], [273, 184], [292, 170], [228, 191], [257, 175], [291, 183], [276, 179], [218, 188], [246, 173]]",19,0.139368,0.025269,0.02923,"[ 1.26120061e-02  9.40990515e-04  3.08071533e-05  4.76426575e-07
  5.34106348e-07 -1.02508028e-04]",0.06792,0
"[[214, 181], [282, 187], [238, 188], [222, 175], [287, 181], [244, 182], [233, 176], [249, 189], [264, 181], [255, 183], [267, 175], [227, 182], [273, 187], [291, 171], [228, 191], [258, 174], [291, 186], [277, 176], [217, 189], [247, 175]]",20,0.107189,0.026046,0.030138,"[ 1.27677433e-02 -3.20975753e-03  1.57068580e-05  4.65703906e-07
  4.28092963e-07 -6.40826917e-05]",0.037036,0
"[[213, 182], [281, 188], [237, 189], [221, 175], [286, 181], [243, 182], [233, 176], [248, 190], [262, 182], [253, 184], [266, 175], [226, 183], [272, 188], [290, 171], [226, 192], [257, 175], [290, 187], [275, 176], [216, 190], [245, 175]]",21,0.143865,0.026329,0.030402,"[ 1.12143439e-02 -6.51634611e-03  8.26372284e-07  3.71469018e-07
  2.92537288e-07 -4.10032272e-05]",0.074255,0
"[[213, 182], [280, 188], [235, 189], [220, 175], [284, 180], [241, 183], [231, 177], [246, 190], [261, 182], [252, 184], [265, 175], [225, 183], [271, 188], [288, 172], [225, 192], [255, 175], [288, 188], [274, 176], [215, 190], [244, 175]]",22,0.127099,0.02685,0.030771,"[ 1.16489912e-02 -5.33914151e-03  5.76190608e-06  3.98873785e-07
  3.22086918e-07 -4.58339518e-05]",0.057061,0
"[[211, 183], [279, 189], [233, 190], [219, 176], [283, 181], [240, 183], [230, 177], [244, 191], [259, 183], [251, 184], [264, 175], [223, 184], [269, 188], [287, 173], [224, 193], [254, 175], [288, 188], [273, 176], [214, 191], [243, 176]]",23,0.12362,0.025992,0.029944,"[ 1.00201647e-02 -6.52618810e-03 -7.14783280e-06  4.54701381e-07
  2.69094665e-07 -4.20324697e-05]",0.057038,0
"[[210, 184], [277, 190], [232, 191], [218, 177], [282, 182], [238, 184], [228, 178], [242, 191], [257, 183], [249, 185], [262, 176], [222, 185], [267, 189], [286, 173], [223, 194], [253, 176], [286, 189], [272, 177], [213, 192], [241, 176]]",24,0.145364,0.023792,0.02786,"[ 9.56371137e-03 -6.60459607e-03 -9.69252346e-06  4.48296314e-07
  2.40752482e-07 -3.95394604e-05]",0.079213,0
"[[209, 185], [276, 191], [232, 192], [216, 178], [280, 182], [237, 185], [228, 179], [242, 192], [257, 184], [248, 186], [261, 177], [221, 186], [266, 190], [285, 174], [222, 195], [252, 177], [284, 190], [270, 178], [211, 193], [240, 177]]",25,0.132,0.027204,0.031823,"[ 9.05570450e-03 -7.04342254e-03 -1.44649191e-05  4.34461652e-07
  1.93246335e-07 -3.46511189e-05]",0.056976,0
"[[208, 185], [275, 191], [231, 193], [215, 178], [279, 183], [237, 185], [227, 179], [242, 193], [256, 185], [247, 187], [260, 177], [220, 186], [266, 191], [284, 175], [221, 195], [251, 178], [284, 191], [269, 178], [211, 193], [239, 178]]",26,0.130745,0.027525,0.031192,"[ 9.71863706e-03 -6.07661298e-03  8.54126689e-07  3.10967135e-07
  2.59624952e-07 -3.60671262e-05]",0.056959,0
"[[207, 186], [274, 193], [229, 194], [214, 179], [278, 184], [235, 186], [225, 180], [240, 194], [255, 186], [245, 188], [258, 178], [218, 187], [264, 192], [283, 176], [219, 196], [249, 178], [283, 192], [268, 179], [209, 195], [238, 179]]",27,0.1392,0.026437,0.030221,"[ 8.29840135e-03 -7.78019674e-03 -1.00033053e-05  3.11577958e-07
  2.01278154e-07 -2.49435675e-05]",0.06892,0
"[[206, 187], [273, 193], [228, 194], [213, 180], [277, 185], [234, 187], [224, 181], [238, 195], [253, 187], [244, 188], [257, 179], [217, 188], [263, 193], [281, 176], [218, 197], [248, 179], [282, 192], [267, 180], [208, 195], [237, 180]]",28,0.140566,0.024921,0.028802,"[ 8.25388730e-03 -5.44594783e-03 -4.13974537e-06  3.68938607e-07
  2.58919668e-07 -4.18128529e-05]",0.072934,0
"[[205, 188], [271, 194], [227, 195]553.067499,0
"[[201, 193], [267, 199], [223, 201], [207, 186], [271, 191], [228, 193], [219, 187], [233, 201], [248, 193], [239, 194], [252, 184], [212, 194], [257, 199], [275, 183], [213, 203], [243, 185], [276, 199], [261, 186], [203, 202], [231, 185]]",35,0.13719,0.026092,0.030043,"[ 6.65958033e-03 -6.52836137e-03 -1.36515733e-05  2.72993679e-07
  1.40724084e-07 -1.74040777e-05]",0.067094,0
"[[200, 194], [266, 201], [221, 202], [206, 187], [270, 192], [227, 194], [217, 188], [232, 202], [247, 194], [237, 195], [251, 185], [211, 195], [256, 200], [275, 184], [211, 204], [241, 186], [275, 200], [260, 186], [202, 203], [230, 186]]",36,0.126387,0.02538,0.029407,"[ 5.78532127e-03 -7.09565680e-03 -1.80609771e-05  2.79027596e-07
  1.28499053e-07 -1.38395213e-05]",0.057852,0
"[[200, 195], [265, 201], [221, 203], [206, 188], [269, 192], [226, 194], [217, 188], [231, 203], [246, 195], [237, 196], [250, 186], [210, 196], [255, 201], [274, 185], [211, 205], [241, 186], [274, 200], [259, 187], [202, 204], [229, 187]]",37,0.137739,0.028715,0.032351,"[ 5.89181532e-03 -6.98931270e-03 -2.07441839e-05  2.75704452e-07
  8.09376679e-08 -1.11645313e-05]",0.066931,0
"[[199, 196], [264, 202], [221, 204], [206, 189], [268, 193], [226, 196], [217, 190], [230, 204], [245, 196], [236, 197], [250, 187], [210, 197], [254, 202], [273, 185], [211, 206], [240, 188], [273, 201], [259, 189], [201, 205], [229, 188]]",38,0.125447,0.023758,0.028625,"[ 5.90766214e-03 -6.96878833e-03 -2.85794027e-05  3.55447341e-07
  3.82430296e-08 -7.36660614e-06]",0.056967,0
"[[198, 197], [264, 203], [220, 205], [205, 190], [268, 195], [225, 196], [216, 190], [230, 205], [245, 197], [236, 198], [249, 188], [209, 198], [254, 203], [272, 186], [210, 207], [239, 188], [272, 202], [258, 189], [200, 205], [228, 189]]",39,0.147454,0.024676,0.028741,"[ 5.67045299e-03 -6.85370183e-03 -2.01695558e-05  2.42899694e-07
  7.21001034e-08 -6.68482894e-06]",0.081654,0
"[[197, 197], [263, 204], [220, 206], [204, 190], [267, 195], [224, 197], [215, 191], [230, 206], [245, 198], [235, 198], [248, 188], [209, 199], [254, 204], [272, 187], [209, 208], [239, 189], [272, 203], [257, 189], [200, 206], [227, 189]]",40,0.125592,0.026762,0.030728,"[ 5.28788264e-03 -7.52313488e-03 -1.71138728e-05  1.24686115e-07
  5.23837419e-08 -1.09385310e-06]",0.057313,0
"[[197, 199], [263, 205], [218, 206], [203, 191], [266, 196], [224, 198], [215, 192], [228, 207], [244, 198], [235, 199], [248, 190], [208, 200], [253, 205], [271, 188], [208, 209], [238, 190], [271, 204], [257, 191], [199, 207], [227, 191]]",41,0.138157,0.025432,0.029567,"[ 4.98050623e-03 -7.34168682e-03 -2.81178350e-05  2.91429962e-07
  4.18986594e-08 -8.11343364e-07]",0.068367,0
"[[196, 200], [261, 205], [217, 207], [203, 192], [266, 197], [222, 199], [213, 193], [226, 207], [242, 199], [233, 200], [246, 190], [207, 201], [251, 205], [270, 189], [207, 210], [237, 190], [271, 205], [256, 191], [198, 208], [225, 191]]",42,0.126499,0.025641,0.029631,"[ 4.21609018e-03 -6.63520943e-03 -2.82015698e-05  3.02656156e-07
  4.95165100e-08 -8.16333410e-06]",0.057343,0
"[[196, 201], [261, 207], [218, 208], [203, 193], [265, 197], [223, 200], [214, 194], [228, 209], [242, 200], [233, 201], [246, 191], [207, 202], [251, 207], [270, 190], [208, 211], [237, 192], [270, 206], [255, 192], [198, 209], [226, 192]]",43,0.13841,0.028987,0.032645,"[ 5.13568835e-03 -7.32656206e-03 -2.63901698e-05  1.93945352e-07
 -1.54312796e-08  6.55813137e-06]",0.067361,0
