keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[220, 175], [285, 181], [242, 182], [262, 182], [253, 184], [266, 175], [225, 183], [289, 171]]",23,0.128442,0.024826,0.028642,"[ 1.06584052e-02 -1.10223890e-02  2.61304113e-05 -4.62378935e-07
  1.72685573e-07 -3.00231377e-06]",0.057079,0
"[[219, 176], [284, 180], [240, 183], [260, 182], [251, 184], [264, 175], [224, 183], [288, 172]]",24,0.137011,0.023223,0.030422,"[ 1.18426170e-02 -2.76972847e-03  5.03538328e-05 -1.81637075e-07
  4.34752981e-07 -6.58686866e-05]",0.066845,0
"[[219, 176], [283, 181], [240, 183], [259, 183], [251, 185], [264, 175], [223, 184], [288, 172]]",25,0.126759,0.024047,0.028392,"[ 8.64739435e-03 -1.43567935e-02 -1.59254897e-05 -1.11949930e-07
 -2.88261487e-09  1.91582187e-05]",0.057292,0
"[[219, 176], [282, 181], [240, 183], [259, 183], [250, 185], [263, 175], [223, 184], [287, 173]]",26,0.135099,0.023732,0.02765,"[ 1.05606655e-02 -1.19013271e-02 -1.89468528e-06 -8.74159243e-08
  6.99368998e-08  1.06375758e-05]",0.068076,0
"[[218, 177], [282, 182], [239, 184], [258, 184], [250, 185], [263, 176], [222, 185], [287, 173]]",27,0.133633,0.023801,0.027632,"[ 8.81609323e-03 -1.26322449e-02 -1.24774691e-05 -3.29304203e-08
  4.66529441e-08  8.77008516e-06]",0.069341,0
"[[217, 178], [281, 182], [238, 185], [257, 184], [249, 186], [262, 176], [222, 186], [286, 174]]",28,0.135344,0.024746,0.028478,"[ 8.89341201e-03 -9.60815118e-03 -3.07844973e-06 -3.51647325e-09
  1.10951047e-07 -1.45535734e-05]",0.067593,0
"[[217, 178], [281, 183], [238, 185], [258, 185], [249, 187], [262, 177], [222, 186], [285, 174]]",29,0.135807,0.025144,0.02897,"[ 9.73269356e-03 -1.00843025e-02  1.59038535e-05 -3.23750559e-07
  1.22968851e-07 -3.66527547e-06]",0.066771,0
"[[216, 179], [280, 184], [237, 186], [257, 186], [248, 187], [261, 178], [221, 187], [284, 175]]",30,0.124794,0.02428,0.028077,"[ 9.92702198e-03 -8.02885257e-03  2.18643604e-05 -2.60268186e-07
  1.85680887e-07 -1.65725584e-05]",0.057015,0
"[[215, 179], [279, 184], [236, 187], [256, 186], [247, 188], [260, 178], [220, 187], [284, 176]]",31,0.138158,0.023311,0.027504,"[ 9.00043755e-03 -1.02423332e-02  6.25008858e-06 -1.78112147e-07
  1.17566162e-07 -4.34702839e-07]",0.070983,0
"[[215, 180], [279, 185], [236, 187], [255, 187], [247, 189], [260, 179], [219, 188], [284, 177]]",32,0.135722,0.025525,0.029328,"[ 8.53708180e-03 -1.14802765e-02 -8.65649732e-06 -3.41241870e-08
  7.23712633e-08  1.01113151e-05]",0.066863,0
"[[214, 181], [278, 186], [235, 187], [254, 187], [245, 189], [259, 179], [218, 189], [283, 177]]",33,0.128327,0.024155,0.031148,"[ 7.18053236e-03 -1.35638771e-02 -2.98797227e-05  8.59762712e-08
 -3.39620897e-08  2.25310305e-05]",0.056766,0
"[[214, 181], [278, 186], [235, 188], [254, 188], [246, 189], [259, 180], [219, 189], [282, 178]]",34,0.138743,0.025149,0.03198,"[ 1.01906516e-02 -6.28613594e-03  2.16433899e-05 -1.08885300e-07
  2.32626673e-07 -2.07820593e-05]",0.066612,0
"[[213, 182], [277, 187], [234, 189], [253, 189], [245, 190], [258, 181], [218, 190], [281, 178]]",35,0.126334,0.024858,0.028658,"[ 8.89914562e-03 -7.83121780e-03  1.44961385e-05 -1.92378225e-07
  1.55842356e-07 -1.16378012e-05]",0.056802,0
"[[213, 182], [276, 188], [234, 189], [254, 190], [244, 191], [258, 181], [217, 191], [281, 179]]",36,0.135264,0.023812,0.027566,"[ 7.26696234e-03 -1.69832687e-02 -3.55843251e-05 -1.18544147e-07
 -1.72500547e-07  5.97763499e-05]",0.067429,0
"[[212, 183], [276, 188], [233, 190], [253, 190], [244, 191], [257, 182], [217, 191], [280, 180]]",37,0.134636,0.023348,0.027608,"[ 9.63651582e-03 -4.96725739e-03  2.88006884e-05 -1.71336814e-07
  2.64721072e-07 -2.72816648e-05]",0.066894,0
"[[211, 184], [275, 189], [232, 191], [251, 191], [243, 192], [256, 182], [216, 192], [280, 180]]",38,0.136916,0.025314,0.029098,"[ 6.94676960e-03 -1.14144930e-02 -1.46599587e-05 -7.27419387e-08
  5.22888461e-09  1.48338899e-05]",0.068406,0
"[[211, 184], [275, 189], [232, 191], [252, 191], [243, 192], [256, 183], [215, 192], [279, 181]]",39,0.124667,0.023968,0.027796,"[ 8.46026651e-03 -6.85247263e-03  1.44326324e-05 -1.19154099e-07
  1.95019792e-07 -1.39585717e-05]",0.057467,0
"[[210, 185], [274, 190], [230, 191], [250, 191], [241, 193], [255, 183], [214, 193], [279, 181]]",40,0.135019,0.025022,0.028892,"[ 5.96992549e-03 -1.24494702e-02 -3.17924620e-05  1.19727942e-07
 -2.96397538e-08  2.16590995e-05]",0.066649,0
"[[210, 185], [273, 190], [231, 193], [250, 192], [241, 194], [254, 184], [215, 194], [278, 182]]",41,0.137401,0.024853,0.028642,"[ 7.64962465e-03 -9.55589203e-03 -3.05141248e-06 -1.50752060e-07
  2.78722730e-08  1.00596407e-05]",0.068812,0
"[[210, 186], [273, 191], [231, 193], [250, 193], [241, 195], [255, 185], [214, 194], [277, 182]]",42,0.134077,0.023186,0.027492,"[ 7.16200911e-03 -1.22519743e-02 -1.43236445e-05 -1.90969870e-07
 -6.49551065e-08  3.18792798e-05]",0.066994,0
"[[209, 187], [272, 192], [229, 194], [249, 194], [240, 195], [253, 185], [213, 195], [276, 183]]",43,0.135919,0.025077,0.028748,"[ 7.00157491e-03 -1.03030339e-02 -7.77978184e-06 -1.62575428e-07
 -6.85748470e-09  1.80655010e-05]",0.066895,0
"[[208, 187], [272, 192], [229, 194], [249, 195], [240, 196], [253, 186], [213, 195], [276, 184]]",44,0.126381,0.022496,0.029666,"[ 7.79320830e-03 -6.92301005e-03  1.78337511e-05 -2.57591925e-07
  1.56583274e-07 -4.25111599e-06]",0.056715,0
"[[208, 188], [271, 193], [228, 195], [248, 195], [239, 196], [252, 186], [212, 196], [276, 185]]",45,0.132957,0.023955,0.027765,"[ 6.89985111e-03 -9.84479891e-03 -1.60616184e-05  2.70263878e-08
  1.67895769e-08  1.78086668e-05]",0.06634,0
"[[207, 188], [270, 193], [227, 195], [247, 195], [237, 196], [251, 186], [211, 197], [275, 185]]",46,0.136372,0.024592,0.028323,"[ 5.71862713e-03 -1.24760074e-02 -3.65036097e-05  1.06364036e-07
 -1.01058010e-07  3.48270126e-05]",0.06777,0
"[[207, 189], [270, 194], [227, 196], [246, 196], [237, 197], [251, 187], [211, 197], [274, 186]]",47,0.136647,0.02338,0.027173,"[ 6.93381522e-03 -1.00569790e-02 -2.04806354e-05  6.15217662e-08
 -1.83238355e-08  2.49036546e-05]",0.069714,0
"[[206, 190], [269, 194], [227, 197], [246, 197], [237, 198], [251, 188], [211, 198], [274, 186]]",48,0.126114,0.024035,0.028107,"[ 5.77381579e-03 -1.01420559e-02 -2.56342088e-05  3.76556615e-08
 -6.25296922e-08  1.97764614e-05]",0.056936,0
"[[206, 190], [269, 195], [226, 197], [247, 198], [237, 199], [251, 189], [210, 199], [273, 187]]",49,0.136915,0.023457,0.028021,"[ 5.95279518e-03 -1.17684657e-02 -2.08918287e-05 -1.28068835e-07
 -8.45691435e-08  3.71733431e-05]",0.067843,0
