keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[230, 181], [299, 174], [257, 172], [240, 168], [305, 179], [261, 181], [249, 177], [267, 176], [281, 169], [272, 181], [284, 177], [244, 176], [291, 173], [309, 164], [245, 184], [275, 173], [308, 175], [294, 178], [237, 175], [265, 170]]",15,0.141009,0.026465,0.033831,"[-1.69234438e-03 -5.56052763e-02 -1.80790783e-04 -1.03604952e-06
 -1.31842613e-06  2.71396884e-04]",0.067201,0
"[[231, 181], [300, 174], [257, 173], [241, 169], [304, 181], [261, 182], [249, 178], [268, 176], [281, 169], [272, 182], [284, 178], [245, 177], [291, 173], [309, 165], [246, 185], [275, 174], [308, 176], [294, 179], [238, 177], [265, 170]]",16,0.129483,0.025003,0.032415,"[-1.98606124e-03 -5.81072579e-02 -1.91179755e-04 -1.10973971e-06
 -1.42965473e-06  2.92077183e-04]",0.057218,0
"[[231, 182], [300, 174], [258, 174], [241, 170], [304, 182], [260, 182], [249, 178], [267, 178], [281, 170], [272, 183], [284, 179], [245, 178], [291, 174], [309, 166], [246, 187], [275, 175], [308, 177], [294, 180], [238, 179], [265, 170]]",17,0.130018,0.025626,0.032975,"[-4.33226151e-04 -5.38337171e-02 -1.75859710e-04 -9.82429274e-07
 -1.29434663e-06  2.64370841e-04]",0.057157,0
"[[231, 182], [301, 175], [260, 176], [241, 171], [305, 182], [262, 183], [250, 178], [269, 180], [283, 172], [273, 184], [285, 180], [246, 179], [293, 176], [309, 167], [247, 187], [276, 175], [309, 179], [295, 181], [239, 180], [267, 171]]",18,0.138031,0.027627,0.031917,"[ 2.59873457e-03 -4.62125179e-02 -1.46009184e-04 -7.83636794e-07
 -1.03781424e-06  2.14284053e-04]",0.068626,0
"[[232, 182], [301, 177], [258, 179], [241, 172], [305, 183], [261, 183], [250, 178], [268, 182], [283, 173], [273, 184], [284, 180], [245, 180], [292, 178], [309, 168], [246, 189], [276, 176], [309, 180], [294, 181], [238, 183], [266, 172]]",19,0.125283,0.024111,0.028715,"[ 8.89155551e-03 -2.85771761e-02 -7.40558552e-05 -3.87357464e-07
 -4.54344401e-07  9.90229117e-05]",0.057376,0
"[[232, 182], [300, 182], [256, 186], [241, 173], [304, 182], [261, 183], [251, 177], [266, 187], [281, 178], [272, 184], [284, 177], [245, 181], [291, 183], [309, 169], [245, 190], [275, 175], [309, 183], [294, 179], [236, 187], [265, 173]]",20,0.135843,0.025385,0.02956,"[ 1.87153393e-02 -1.07928478e-03  2.35256815e-05  4.61371350e-07
  4.30322345e-07 -7.86257024e-05]",0.067847,0
"[[232, 181], [300, 187], [255, 188], [240, 174], [304, 179], [262, 182], [252, 176], [266, 189], [281, 181], [272, 183], [285, 174], [244, 182], [291, 187], [308, 171], [245, 191], [276, 174], [308, 186], [294, 175], [235, 189], [265, 174]]",21,0.150121,0.02398,0.028257,"[ 1.73446637e-02 -6.11174789e-03 -2.35151109e-08  4.43726548e-07
  2.78542211e-07 -4.11097029e-05]",0.083997,0
"[[232, 181], [299, 188], [255, 188], [239, 175], [303, 180], [261, 182], [251, 176], [266, 189], [280, 182], [271, 183], [284, 174], [244, 182], [290, 188], [307, 171], [245, 191], [275, 174], [307, 187], [293, 176], [234, 189], [264, 175]]",22,0.124929,0.02547,0.029672,"[ 1.87936805e-02 -5.02465248e-03  1.55647611e-05  3.36358488e-07
  3.29393273e-07 -3.98007615e-05]",0.053454,0
"[[230, 182], [297, 189], [253, 189], [238, 175], [301, 180], [259, 183], [249, 176], [264, 190], [279, 183], [270, 184], [282, 175], [242, 183], [288, 189], [306, 172], [243, 192], [273, 175], [305, 188], [291, 175], [232, 190], [262, 175]]",23,0.130064,0.025108,0.032799,"[ 1.66297734e-02 -8.62577385e-03 -4.30964878e-06  3.09199809e-07
  1.97852503e-07 -1.64962331e-05]",0.057141,0
"[[229, 183], [296, 189], [251, 189], [236, 176], [300, 181], [258, 183], [248, 177], [263, 190], [277, 183], [269, 185], [281, 175], [241, 184], [287, 189], [304, 172], [242, 193], [271, 175], [304, 188], [290, 176], [232, 190], [261, 176]]",24,0.12693,0.025965,0.029862,"[ 1.69822893e-02 -5.02277120e-03  1.14154787e-05  2.98521982e-07
  2.91948424e-07 -4.24955206e-05]",0.058137,0
