keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[211, 182], [282, 176], [240, 176], [222, 170], [287, 182], [242, 183], [230, 179], [249, 179], [263, 172], [253, 183], [265, 180], [226, 179], [273, 175], [291, 167], [227, 187], [256, 175], [290, 179], [276, 181], [219, 179], [245, 171]]",15,0.135999,0.025947,0.029949,"[-6.19948317e-04 -4.45842430e-02 -1.30209408e-04 -9.00805232e-07
 -1.01601074e-06  2.13727633e-04]",0.067282,0
"[[212, 182], [282, 176], [241, 176], [222, 171], [287, 183], [242, 183], [230, 179], [250, 180], [264, 172], [254, 184], [266, 180], [227, 179], [274, 175], [291, 167], [228, 188], [257, 176], [290, 179], [276, 181], [220, 180], [246, 172]]",16,0.137788,0.024465,0.0288,"[-6.17226186e-04 -4.53327455e-02 -1.34298056e-04 -9.32831114e-07
 -1.06788056e-06  2.19898016e-04]",0.068111,0
"[[212, 182], [282, 176], [240, 177], [222, 171], [287, 183], [241, 183], [230, 178], [250, 180], [264, 172], [253, 184], [265, 180], [226, 179], [274, 176], [291, 167], [227, 188], [256, 176], [290, 179], [275, 181], [220, 181], [246, 172]]",17,0.129059,0.026911,0.031249,"[ 6.43620022e-04 -3.99662321e-02 -1.17338994e-04 -7.25273865e-07
 -8.77075545e-07  1.80605941e-04]",0.056954,0
"[[212, 182], [283, 177], [240, 179], [222, 172], [286, 184], [242, 183], [230, 178], [250, 182], [264, 173], [253, 184], [265, 180], [226, 180], [274, 177], [291, 168], [227, 189], [256, 176], [291, 181], [275, 181], [219, 182], [246, 172]]",18,0.13639,0.028306,0.032061,"[ 3.56082250e-03 -3.01463410e-02 -7.87731459e-05 -4.59612103e-07
 -5.18026420e-07  1.12368970e-04]",0.067455,0
"[[212, 182], [283, 179], [239, 182], [222, 172], [286, 184], [242, 183], [231, 178], [249, 184], [263, 175], [253, 184], [265, 180], [226, 180], [273, 179], [291, 169], [227, 189], [257, 175], [291, 182], [275, 181], [218, 185], [246, 172]]",19,0.139193,0.026498,0.033579,"[ 8.24864973e-03 -1.59868706e-02 -2.16575039e-05 -8.29790032e-08
 -3.30135496e-09  1.75987986e-05]",0.066822,0
"[[212, 182], [282, 182], [237, 185], [222, 173], [286, 183], [242, 183], [231, 177], [247, 186], [262, 177], [253, 184], [265, 178], [225, 181], [272, 182], [291, 169], [226, 190], [256, 175], [291, 183], [275, 180], [217, 187], [245, 173]]",20,0.142655,0.026861,0.030915,"[ 1.14609509e-02 -2.72621694e-03  2.26735295e-05  3.61467437e-07
  4.60401008e-07 -7.70557600e-05]",0.070601,0
"[[212, 182], [281, 185], [237, 187], [221, 174], [285, 181], [241, 183], [231, 177], [247, 188], [261, 180], [252, 184], [265, 176], [225, 182], [271, 185], [290, 170], [226, 191], [256, 174], [290, 184], [274, 177], [216, 189], [244, 174]]",21,0.11944,0.026838,0.030772,"[ 1.20309988e-02  1.37940488e-03  3.04961792e-05  5.13639653e-07
  5.50066007e-07 -1.07055308e-04]",0.048362,0
"[[213, 181], [281, 187], [237, 188], [221, 174], [285, 181], [242, 182], [232, 176], [247, 188], [262, 181], [253, 183], [265, 175], [225, 182], [272, 186], [289, 170], [226, 191], [256, 174], [289, 186], [275, 177], [216, 189], [245, 174]]",22,0.131195,0.025358,0.032621,"[ 1.25977975e-02 -3.62217713e-03  1.94286732e-05  3.71197160e-07
  4.09792697e-07 -5.91727278e-05]",0.056845,0
"[[212, 182], [280, 187], [236, 188], [220, 174], [284, 180], [241, 182], [231, 176], [246, 188], [261, 181], [252, 183], [264, 175], [225, 182], [271, 186], [289, 170], [226, 191], [255, 174], [288, 186], [274, 176], [215, 189], [244, 174]]",23,0.140102,0.025149,0.032857,"[ 1.18805490e-02 -3.04537786e-03  1.60451264e-05  4.23543920e-07
  4.03738747e-07 -6.75712502e-05]",0.067952,0
"[[212, 182], [280, 187], [235, 188], [220, 174], [284, 180], [241, 182], [230, 176], [246, 189], [260, 181], [252, 183], [264, 175], [224, 182], [270, 187], [288, 171], [225, 191], [255, 174], [288, 186], [273, 176], [215, 189], [243, 175]]",24,0.127005,0.028085,0.031951,"[ 1.23730309e-02 -1.88862697e-03  2.46724139e-05  4.06916190e-07
  4.58868957e-07 -7.32971604e-05]",0.056804,0
