keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[221, 165], [286, 178], [243, 180], [258, 166], [253, 180], [267, 177], [225, 174], [289, 162]]",23,0.134831,0.024866,0.028816,"[-1.07331972e-03 -5.17191539e-02 -1.13567498e-04 -1.76023915e-06
 -1.18887167e-06  2.80055444e-04]",0.067242,0
"[[221, 166], [286, 178], [243, 180], [258, 166], [254, 180], [267, 177], [225, 174], [289, 162]]",24,0.136497,0.023526,0.027853,"[-1.03483613e-03 -5.10064086e-02 -1.07589367e-04 -1.82223136e-06
 -1.16853197e-06  2.73671236e-04]",0.068654,0
"[[221, 166], [286, 178], [243, 180], [259, 166], [254, 180], [267, 177], [225, 174], [289, 162]]",25,0.134287,0.023069,0.027195,"[-1.68897070e-03 -5.25594975e-02 -1.19963270e-04 -1.77051598e-06
 -1.23612399e-06  2.83544486e-04]",0.067105,0
"[[222, 166], [286, 178], [244, 180], [259, 166], [254, 180], [267, 177], [226, 174], [289, 162]]",26,0.133389,0.023519,0.027432,"[-7.41582494e-04 -5.26973072e-02 -1.18608209e-04 -1.79793508e-06
 -1.26383176e-06  2.89987199e-04]",0.066761,0
"[[222, 166], [286, 179], [244, 181], [260, 166], [254, 181], [267, 177], [226, 174], [289, 162]]",27,0.133546,0.023729,0.027647,"[-1.69234638e-03 -5.53255475e-02 -1.37210224e-04 -1.73816270e-06
 -1.37205546e-06  3.08195969e-04]",0.066962,0
"[[222, 166], [286, 179], [244, 181], [260, 167], [254, 181], [267, 177], [226, 175], [289, 163]]",28,0.138235,0.02352,0.027593,"[-4.18982542e-04 -5.24112249e-02 -1.21969173e-04 -1.70104217e-06
 -1.25997900e-06  2.89987356e-04]",0.071321,0
"[[221, 166], [286, 179], [243, 181], [260, 167], [254, 181], [267, 178], [226, 175], [289, 163]]",29,0.125825,0.024869,0.028738,"[-1.44791132e-03 -5.35085385e-02 -1.27872271e-04 -1.71643400e-06
 -1.28780093e-06  2.94181484e-04]",0.057061,0
"[[221, 166], [286, 179], [243, 181], [260, 167], [254, 181], [267, 178], [226, 175], [289, 163]]",30,0.136855,0.023405,0.028055,"[-1.44791132e-03 -5.35085385e-02 -1.27872271e-04 -1.71643400e-06
 -1.28780093e-06  2.94181484e-04]",0.067534,0
"[[221, 167], [287, 179], [243, 181], [261, 167], [254, 181], [267, 178], [226, 175], [289, 163]]",31,0.123695,0.022462,0.026606,"[-2.19036179e-03 -5.36590886e-02 -1.30549220e-04 -1.71481228e-06
 -1.28973106e-06  2.90575877e-04]",0.056912,0
"[[221, 167], [287, 179], [244, 181], [261, 167], [254, 181], [267, 178], [226, 175], [289, 163]]",32,0.144375,0.02729,0.03432,"[-1.77635255e-03 -5.29573772e-02 -1.24344390e-04 -1.75809089e-06
 -1.26719189e-06  2.86539342e-04]",0.073946,0
"[[222, 167], [287, 179], [244, 181], [261, 167], [255, 181], [268, 178], [226, 175], [290, 163]]",33,0.125025,0.024575,0.028311,"[-2.05595166e-03 -5.40017973e-02 -1.31829378e-04 -1.71236927e-06
 -1.29593419e-06  2.93378831e-04]",0.057215,0
"[[222, 167], [287, 179], [244, 181], [262, 167], [255, 181], [268, 178], [227, 175], [290, 163]]",34,0.139603,0.024527,0.031497,"[-2.34182758e-03 -5.53685114e-02 -1.42686646e-04 -1.66869076e-06
 -1.36508113e-06  3.03553703e-04]",0.067054,0
"[[222, 167], [287, 179], [245, 181], [262, 167], [255, 181], [268, 178], [227, 175], [290, 163]]",35,0.128837,0.025306,0.032237,"[-1.92483269e-03 -5.46580425e-02 -1.36423722e-04 -1.71222583e-06
 -1.34223098e-06  2.99451514e-04]",0.057895,0
"[[222, 167], [287, 179], [245, 181], [262, 167], [255, 181], [268, 178], [227, 175], [290, 164]]",36,0.141166,0.024001,0.028054,"[-1.28604752e-03 -5.37448302e-02 -1.28783018e-04 -1.73747113e-06
 -1.30256207e-06  2.95276883e-04]",0.074345,0
