keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[194, 190], [260, 196], [216, 198], [201, 183], [265, 188], [221, 190], [212, 184], [227, 198], [242, 190], [232, 191], [246, 182], [205, 191], [251, 196], [269, 180], [206, 200], [236, 182], [269, 195], [255, 183], [196, 199], [224, 183]]",15,0.138826,0.025202,0.029351,"[ 4.24395889e-03 -6.50618238e-03 -1.79697823e-05  4.08877095e-07
  1.81748249e-07 -2.91993735e-05]",0.067544,0
"[[193, 191], [260, 197], [215, 198], [200, 184], [264, 188], [221, 190], [211, 184], [225, 199], [240, 190], [231, 192], [244, 181], [204, 192], [250, 197], [268, 180], [205, 201], [235, 182], [268, 196], [254, 183], [195, 200], [224, 183]]",16,0.125656,0.025886,0.030018,"[ 3.11181380e-03 -9.37515903e-03 -2.85498480e-05  2.90287337e-07
  5.59608295e-08 -9.20519533e-06]",0.057019,0
"[[193, 192], [258, 198], [215, 199], [200, 185], [263, 189], [220, 191], [211, 185], [225, 200], [240, 191], [231, 192], [244, 182], [204, 193], [248, 198], [268, 181], [205, 202], [234, 183], [268, 197], [254, 184], [195, 201], [223, 184]]",17,0.13764,0.026157,0.030317,"[ 3.46072311e-03 -9.62765189e-03 -3.35188088e-05  3.26388169e-07
  1.25174363e-08 -1.37239802e-06]",0.067252,0
"[[193, 193], [259, 199], [216, 201], [200, 186], [263, 190], [221, 192], [211, 186], [225, 201], [240, 193], [231, 194], [244, 183], [204, 194], [249, 199], [268, 182], [205, 203], [235, 184], [268, 198], [253, 185], [195, 202], [223, 185]]",18,0.135964,0.0266,0.030478,"[ 3.48679926e-03 -9.10827280e-03 -2.82279539e-05  2.49414924e-07
  2.28816689e-08 -3.33672549e-06]",0.066783,0
"[[193, 194], [259, 200], [215, 202], [199, 187], [263, 191], [220, 194], [210, 187], [225, 202], [240, 194], [230, 195], [243, 185], [204, 195], [250, 200], [267, 184], [205, 204], [234, 186], [268, 200], [253, 186], [195, 203], [223, 186]]",19,0.124558,0.025672,0.029854,"[ 4.06115070e-03 -5.34875224e-03 -4.88706860e-06  1.84094171e-07
  1.80768494e-07 -2.78513308e-05]",0.056976,0
"[[192, 196], [259, 201], [214, 203], [199, 188], [263, 193], [220, 195], [211, 189], [224, 203], [240, 195], [230, 196], [244, 186], [204, 196], [249, 201], [267, 185], [204, 205], [234, 187], [267, 201], [253, 188], [195, 204], [223, 187]]",20,0.138376,0.026462,0.030393,"[ 3.61644337e-03 -7.36192527e-03 -2.76987874e-05  3.64342047e-07
  8.58609418e-08 -1.03690079e-05]",0.067156,0
"[[192, 196], [257, 202], [213, 203], [198, 189], [262, 193], [218, 195], [209, 189], [222, 204], [238, 195], [229, 196], [242, 186], [202, 197], [247, 202], [267, 185], [203, 206], [233, 187], [266, 201], [252, 187], [194, 205], [221, 187]]",21,0.135767,0.025502,0.029587,"[ 2.58519436e-03 -8.97619180e-03 -3.53265159e-05  3.10949277e-07
  7.08188106e-09 -6.63779313e-07]",0.067163,0
"[[192, 197], [257, 203], [214, 205], [198, 190], [262, 194], [219, 196], [210, 190], [223, 205], [238, 196], [229, 198], [243, 188], [203, 198], [247, 203], [266, 186], [204, 207], [234, 188], [266, 202], [252, 189], [194, 205], [222, 189]]",22,0.12819,0.028008,0.032189,"[ 3.60251373e-03 -8.15480949e-03 -3.31657527e-05  3.31385970e-07
  8.56906269e-09  1.81494360e-06]",0.057345,0
"[[191, 198], [257, 204], [214, 206], [198, 190], [261, 194], [218, 197], [209, 191], [224, 206], [239, 198], [229, 198], [242, 188], [203, 199], [248, 204], [265, 187], [203, 208], [233, 189], [266, 203], [251, 189], [193, 206], [221, 189]]",23,0.144613,0.027767,0.031623,"[ 3.16993066e-03 -7.72643107e-03 -2.09589326e-05  1.37467949e-07
  2.94869074e-08 -2.45186500e-06]",0.073919,0
"[[191, 199], [257, 205], [212, 206], [197, 191], [261, 196], [217, 198], [208, 192], [222, 207], [237, 198], [228, 199], [242, 189], [202, 200], [246, 205], [265, 188], [202, 209], [232, 190], [266, 204], [251, 190], [193, 207], [220, 190]]",24,0.12571,0.025926,0.030467,"[ 2.74066843e-03 -7.14868880e-03 -2.38118282e-05  2.30730455e-07
  6.58527917e-08 -6.59672168e-06]",0.057045,0
"[[191, 200], [256, 206], [212, 207], [198, 192], [260, 197], [217, 199], [209, 193], [222, 208], [237, 199], [228, 200], [242, 190], [202, 201], [246, 206], [265, 189], [202, 210], [232, 191], [265, 205], [251, 192], [193, 208], [221, 191]]",25,0.133495,0.024537,0.028493,"[ 3.44250725e-03 -9.25656737e-03 -3.99679505e-05  3.09315506e-07
 -5.37713738e-08  1.88727461e-05]",0.067697,0
"[[191, 201], [255, 206], [213, 208], [197, 193], [260, 197], [217, 200], [208, 194], [222, 209], [237, 200], [227, 201], [241, 191], [202, 201], [246, 206], [264, 190], [202, 211], [231, 191], [264, 205], [250, 192], [193, 209], [220, 192]]",26,0.139558,0.025825,0.029991,"[ 3.35124457e-03 -6.04846725e-03 -2.46851636e-05  2.39925489e-07
  1.47675341e-08 -6.47319383e-06]",0.067484,0
"[[190, 201], [256, 208], [212, 210], [197, 194], [260, 199], [217, 201], [208, 195], [222, 210], [237, 201], [227, 202], [241, 192], [201, 202], [246, 208], [264, 191], [202, 212], [231, 193], [264, 207], [250, 194], [192, 210], [220, 193]]",27,0.127545,0.025247,0.029343,"[ 3.44734140e-03 -7.39336936e-03 -2.45064723e-05  1.80942774e-07
  1.76185548e-08  8.97380313e-06]",0.057611,0
"[[190, 202], [256, 209], [212, 210], [197, 195], [259, 198], [217, 201], [208, 195], [222, 210], [237, 202], [228, 203], [240, 192], [201, 203], [246, 209], [264, 192], [202, 212], [231, 193], [264, 208], [249, 193], [192, 211], [220, 194]]",28,0.133014,0.023749,0.027923,"[ 3.46025822e-03 -7.32033517e-03 -2.15031630e-05  1.04047820e-07
 -4.79500211e-09  9.66594600e-06]",0.067328,0
"[[190, 203], [254, 209], [211, 211], [196, 196], [259, 199], [216, 202], [207, 196], [220, 211], [236, 202], [226, 203], [239, 193], [200, 204], [244, 209], [263, 192], [201, 213], [230, 194], [263, 208], [249, 194], [192, 212], [219, 194]]",29,0.136112,0.027404,0.031235,"[ 2.77483026e-03 -7.18674714e-03 -3.29419854e-05  2.27584388e-07
 -4.96561372e-08  6.97710292e-06]",0.06688,0
"[[190, 204], [254, 210], [211, 212], [196, 196], [258, 200], [216, 203], [207, 197], [220, 212], [235, 204], [226, 204], [239, 194], [200, 205], [244, 210], [263, 193], [201, 214], [230, 195], [263, 209], [249, 195], [192, 213], [219, 195]]",30,0.130301,0.024109,0.027963,"[ 3.16584492e-03 -7.55934284e-03 -3.24883898e-05  1.87883743e-07
 -7.12094679e-08  1.54989829e-05]",0.064138,0
"[[189, 204], [254, 211], [212, 213], [196, 197], [258, 201], [216, 204], [207, 197], [221, 213], [237, 205], [226, 205], [239, 195], [201, 206], [245, 211], [262, 194], [201, 215], [230, 195], [263, 210], [249, 197], [192, 213], [219, 196]]",31,0.138651,0.025635,0.029938,"[ 3.88486401e-03 -6.48653584e-03 -1.75808092e-05  5.84810233e-08
 -1.46473286e-08  1.35293051e-05]",0.068911,0
"[[189, 205], [254, 212], [211, 214], [196, 198], [258, 202], [215, 204], [206, 198], [221, 214], [236, 205], [226, 206], [239, 195], [200, 206], [245, 212], [262, 195], [201, 216], [230, 196], [263, 211], [248, 196], [191, 214], [218, 197]]",32,0.14557,0.024537,0.028659,"[ 3.17735609e-03 -7.00874212e-03 -1.90076344e-05  1.51959748e-08
 -2.92694757e-08  1.49629626e-05]",0.078446,0
