keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 214], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",15,0.122895,0.02429,0.028316,"[-3.92449113e-05  4.83344153e-04  7.48265041e-07  2.23041765e-08
  1.75460150e-08 -4.15296419e-06]",0.056238,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 205], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",16,0.13243,0.024157,0.027951,"[-1.56678536e-04  8.01345121e-04  4.86783458e-06 -1.77665594e-08
  3.47600831e-08 -7.40592495e-06]",0.066349,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",17,0.150106,0.023166,0.030172,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.075991,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",18,0.126685,0.022931,0.030275,"[-6.13637688e-05  1.72835751e-03  7.74411439e-06  1.41791070e-08
  7.50515433e-08 -1.35854514e-05]",0.056222,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",19,0.133312,0.024114,0.028348,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.06605,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 214], [206, 215], [218, 206], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",20,0.133271,0.025059,0.028878,"[ 1.18124867e-04  4.98464199e-04  1.12098003e-06  1.75381821e-08
  1.26522255e-08 -3.09625438e-06]",0.065909,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",21,0.133617,0.025511,0.029299,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.065838,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",22,0.135701,0.025329,0.029179,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.06603,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 214], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",23,0.123248,0.024387,0.028262,"[-1.96716324e-04  1.29867971e-03  5.71470500e-06  4.03873163e-09
  5.28868032e-08 -1.16764133e-05]",0.055716,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",24,0.134921,0.023111,0.026929,"[-3.58574670e-05  1.12349731e-03  5.52198053e-06 -2.16671598e-09
  4.52605952e-08 -8.95732965e-06]",0.066006,0
"[[170, 213], [232, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",25,0.136761,0.023315,0.030568,"[ 5.02733495e-05  7.99600409e-04  2.66251375e-06  1.91337146e-08
  2.80590483e-08 -5.31259906e-06]",0.066297,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",26,0.134153,0.025234,0.029054,"[ 2.77717371e-04  8.14444441e-04  2.74494878e-06  2.54454822e-08
  3.00086834e-08 -4.03045701e-06]",0.066476,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 214], [206, 215], [218, 205], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",27,0.134065,0.025902,0.029774,"[-1.30393260e-04  6.90071699e-04  3.91422798e-06 -1.47281539e-08
  2.55828928e-08 -6.55162378e-06]",0.065838,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",28,0.138023,0.024475,0.028468,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.070339,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",29,0.131015,0.025096,0.032184,"[-1.29629030e-04  1.27391803e-03  6.13089835e-06 -6.05177860e-10
  5.39510622e-08 -1.08018702e-05]",0.058178,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",30,0.128459,0.02344,0.030784,"[-6.13637688e-05  1.72835751e-03  7.74411439e-06  1.41791070e-08
  7.50515433e-08 -1.35854514e-05]",0.05623,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",31,0.134658,0.024467,0.028645,"[-3.58574670e-05  1.12349731e-03  5.52198053e-06 -2.16671598e-09
  4.52605952e-08 -8.95732965e-06]",0.06599,0
"[[170, 213], [232, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [205, 215], [218, 205], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",32,0.130545,0.024258,0.028118,"[ 2.30665776e-05  3.28210079e-04  1.40897817e-06  1.86847213e-09
  8.86847721e-09 -1.92653694e-06]",0.066221,0
"[[170, 213], [232, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [215, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [198, 206]]",33,0.135004,0.025988,0.029787,"[-3.83670804e-05  1.51844652e-03  6.99408277e-06  3.70023226e-09
  5.70563572e-08 -1.15011311e-05]",0.066577,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 205], [182, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",34,0.137026,0.024996,0.028874,"[ 9.37932096e-05  6.71640937e-04  4.67138145e-06 -2.42870392e-08
  2.14320158e-08 -4.55390786e-06]",0.067233,0
"[[170, 213], [232, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",35,0.133862,0.023845,0.027842,"[ 1.43107830e-04  1.16824769e-03  4.07923649e-06  3.05986462e-08
  4.55464101e-08 -7.33609315e-06]",0.065476,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",36,0.125673,0.024313,0.028307,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.056466,0
