keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[220, 175], [285, 181], [242, 182], [262, 182], [253, 184], [266, 175], [225, 183], [289, 171]]",23,0.126298,0.02444,0.028164,"[ 1.06584052e-02 -1.10223890e-02  2.61304113e-05 -4.62378935e-07
  1.72685573e-07 -3.00231377e-06]",0.057213,0
"[[219, 176], [283, 180], [240, 183], [260, 182], [251, 184], [264, 175], [224, 183], [288, 172]]",24,0.134277,0.023745,0.027765,"[ 1.14141308e-02 -5.36102549e-03  3.22022808e-05 -1.11418294e-07
  3.19594303e-07 -4.52545699e-05]",0.066683,0
"[[219, 176], [283, 181], [240, 183], [259, 182], [251, 185], [264, 175], [223, 184], [288, 172]]",25,0.132066,0.02276,0.026786,"[ 8.83518382e-03 -1.33708636e-02 -1.01570093e-05 -1.25451164e-07
  3.28505259e-08  1.12577670e-05]",0.066817,0
"[[219, 177], [283, 182], [240, 184], [259, 183], [250, 185], [263, 176], [223, 184], [287, 173]]",26,0.133265,0.023589,0.027326,"[ 1.15923791e-02 -6.36833835e-03  3.35435815e-05 -2.09266187e-07
  2.88581872e-07 -3.09918916e-05]",0.066459,0
"[[218, 177], [282, 182], [239, 184], [258, 184], [250, 186], [263, 176], [222, 185], [287, 174]]",27,0.136385,0.024537,0.031429,"[ 9.39212339e-03 -1.23106166e-02 -8.25800129e-06 -3.79414577e-08
  7.31633646e-08  1.02274822e-05]",0.066495,0
"[[217, 178], [281, 183], [239, 185], [257, 184], [249, 186], [262, 177], [222, 186], [286, 174]]",28,0.125885,0.02562,0.029447,"[ 9.89264721e-03 -8.80988447e-03  1.17312572e-05 -1.34355525e-07
  1.64259218e-07 -1.47850350e-05]",0.057119,0
"[[217, 179], [281, 184], [239, 186], [258, 186], [249, 187], [262, 178], [222, 186], [285, 175]]",29,0.135222,0.025189,0.028924,"[ 1.13320232e-02 -6.35849062e-03  3.84150004e-05 -3.48310621e-07
  2.63401800e-07 -2.46346608e-05]",0.066684,0
"[[216, 179], [280, 184], [237, 186], [257, 186], [248, 188], [261, 179], [221, 187], [284, 176]]",30,0.139061,0.023864,0.03142,"[ 1.13377762e-02 -5.09677827e-03  4.13653480e-05 -2.80920847e-07
  3.11925946e-07 -3.23397830e-05]",0.067353,0
"[[215, 180], [279, 184], [236, 187], [256, 186], [247, 188], [260, 178], [220, 188], [284, 176]]",31,0.124475,0.023538,0.027337,"[ 8.32951303e-03 -8.63783227e-03  1.86303384e-06 -5.58448198e-08
  1.30908249e-07 -1.84031061e-05]",0.057029,0
"[[215, 180], [279, 186], [236, 187], [255, 187], [247, 189], [260, 180], [219, 188], [283, 177]]",32,0.135016,0.024492,0.028669,"[ 9.99201809e-03 -9.51863143e-03  1.65280928e-05 -2.39202288e-07
  1.62586113e-07  3.18356253e-06]",0.067036,0
"[[214, 181], [278, 186], [235, 188], [254, 187], [245, 189], [258, 180], [218, 189], [283, 177]]",33,0.140517,0.02429,0.02813,"[ 8.39877220e-03 -8.14239901e-03  4.96457876e-06 -3.66379216e-08
  1.66337101e-07 -1.64020138e-05]",0.073417,0
"[[214, 182], [278, 186], [235, 189], [254, 188], [245, 190], [259, 180], [219, 190], [282, 178]]",34,0.12612,0.025287,0.029092,"[ 8.29882466e-03 -8.40357680e-03 -1.77963788e-06 -2.23044093e-08
  1.01788527e-07 -1.31578404e-05]",0.058862,0
"[[214, 182], [277, 188], [235, 189], [254, 189], [245, 191], [258, 181], [218, 190], [281, 178]]",35,0.13847,0.025661,0.032829,"[ 8.85803214e-03 -1.27120393e-02 -1.03210653e-07 -3.43801938e-07
 -2.09253241e-08  3.08056232e-05]",0.066305,0
"[[212, 183], [276, 188], [233, 190], [253, 190], [244, 191], [257, 182], [217, 191], [281, 179]]",36,0.135249,0.023334,0.027729,"[ 8.01943528e-03 -8.28705068e-03  6.93985847e-06 -1.33040437e-07
  1.39526678e-07 -9.55566761e-06]",0.067019,0
"[[212, 183], [276, 188], [233, 190], [253, 190], [244, 192], [257, 182], [217, 191], [280, 180]]",37,0.12401,0.023643,0.027669,"[ 9.19782990e-03 -6.75433351e-03  2.36182306e-05 -2.45628015e-07
  2.01808638e-07 -1.42546326e-05]",0.056917,0
"[[212, 184], [275, 189], [232, 191], [252, 191], [243, 192], [256, 183], [216, 192], [280, 180]]",38,0.139888,0.023973,0.02768,"[ 7.81743361e-03 -9.97512172e-03 -8.68072832e-06 -3.99626810e-08
  4.60961810e-08  7.92573225e-06]",0.073906,0
"[[211, 184], [274, 189], [231, 191], [251, 191], [242, 192], [255, 183], [215, 193], [279, 181]]",39,0.133384,0.024594,0.028286,"[ 7.55281926e-03 -1.02508792e-02 -1.63551708e-05  6.23791284e-08
  2.70014691e-08  1.10578845e-05]",0.066457,0
"[[210, 185], [274, 190], [231, 192], [250, 192], [241, 193], [255, 183], [214, 193], [279, 182]]",40,0.13428,0.024411,0.028245,"[ 6.52609130e-03 -1.24083753e-02 -3.03698721e-05  1.22490925e-07
 -2.44379097e-08  2.57003051e-05]",0.066637,0
"[[210, 186], [273, 191], [231, 193], [250, 193], [242, 194], [255, 184], [215, 194], [278, 182]]",41,0.139451,0.023464,0.02746,"[ 7.14263456e-03 -1.21043477e-02 -1.86625322e-05 -1.14812552e-07
 -6.79826758e-08  2.91658888e-05]",0.073168,0
"[[209, 186], [273, 191], [230, 193], [250, 194], [241, 195], [254, 185], [214, 194], [277, 183]]",42,0.124644,0.023962,0.027961,"[ 8.09343330e-03 -7.23504629e-03  1.77957400e-05 -2.58944692e-07
  1.55706126e-07 -3.91538689e-06]",0.056671,0
"[[209, 187], [272, 192], [229, 194], [249, 194], [240, 195], [253, 186], [213, 195], [276, 184]]",43,0.134385,0.023609,0.027329,"[ 8.45607426e-03 -5.82709438e-03  1.19374206e-05 -6.57261447e-08
  1.69349203e-07 -1.00710206e-05]",0.066951,0
"[[208, 188], [271, 192], [229, 195], [248, 194], [240, 196], [252, 186], [213, 196], [276, 184]]",44,0.13509,0.024071,0.02787,"[ 7.25592516e-03 -4.73574789e-03  1.43339618e-05 -1.32413681e-07
  1.61632412e-07 -2.55427414e-05]",0.066764,0
"[[208, 188], [271, 193], [228, 195], [247, 195], [239, 196], [252, 186], [212, 196], [275, 185]]",45,0.142566,0.028153,0.031945,"[ 7.40124563e-03 -9.43027436e-03 -1.13144025e-05 -1.47597848e-08
  1.84600935e-08  1.81511743e-05]",0.073578,0
"[[207, 189], [270, 193], [227, 195], [247, 195], [237, 197], [251, 186], [211, 197], [275, 185]]",46,0.125628,0.024297,0.028059,"[ 5.30962034e-03 -1.15698850e-02 -3.70188239e-05  1.37291821e-07
 -9.29147921e-08  2.47302652e-05]",0.056774,0
"[[206, 189], [270, 194], [227, 196], [246, 196], [237, 198], [251, 188], [211, 198], [274, 186]]",47,0.128219,0.024456,0.028206,"[ 6.29076658e-03 -8.68144193e-03 -7.55325072e-06 -7.45002371e-08
  4.10370209e-08  9.75337199e-06]",0.060579,0
"[[207, 190], [270, 195], [227, 197], [247, 197], [238, 198], [251, 188], [211, 198], [274, 186]]",48,0.136264,0.023766,0.028309,"[ 6.47474756e-03 -9.42040072e-03 -7.52465042e-06 -1.60737138e-07
 -5.44275125e-09  1.77775107e-05]",0.06844,0
